,Title,Description,Type,Geography,Geography Code,Frameworks,Keywords,Events
707,"Energy Regulatory Authority Act, Act No.3 of 2011 (Chapter 13:23)","This Act establishes the Zimbabwe Energy Regulatory Authority (ZERA). The ZERA regulates the procurement, production, transportation, transmission, distribution, importation and exportation of energy derived from any energy source. ZERA is responsible for promotion of renewable energy.<br />
The Energy Regulatory Authority Board is also established under this Act, which controls and manages the ZERA. The Act provides requirements, processes and rules related to energy resource licensing. The Energy Regulatory Act amends the Electricity Act of 2002 and the Petroleum Act of 2006.",legislative,Zimbabwe,ZWE,,Institutions / Administrative Arrangements,22/09/2011 | Law passed
709,"Electricity Act, Act No.4 of 2002 (Chapter 13:19), revision under Act No.3 of 2003","This Act repeals the former Electricity Act. It establishes the Zimbabwe Electricity Regulatory Commission and details its functions and management rules. The Commission has the objectives to create and promote efficient industry and market structures, maximise access to electricity services, ensure adequate electricity supply, ensure safety, security and reliability of electricity deliveries and provide fair and balanced regulations in the sector. The Commission is expected to coordinate with the Rural Electrification Fund Board, the Zambezi River Authority, consumers of electricity, potential investors in the electricity services and other interested parties whenever appropriate. The Commissions consists of not less than five and no more than seven Commissioners, with three being full-timer. They are appointed by the President after consultation with the Minister of Mines and Energy.<br />
<br />
The Zimbabwe Electricity Regulatory Commission provides incentives for the continued improvement of the technical and economic efficiency with which the electricity services are provided. Thought it does not detail the process, the Commission is in charge of formulating and implementing the measures.",legislative,Zimbabwe,ZWE,,"Institutions / Administrative Arrangements, Energy Supply, Energy Demand",01/08/2003 | Law passed
710,National Power Policy,"This Policy is produced by the Ministry of Water and Power of the Government of Pakistan. It has been adopted to provide an overall direction of energy policy in Pakistan. It identifies current challenges as follows:<br />
- Current supply-demand gap of 4,500-5,000 MW, which has been continuously growing in the past 5 years<br />
- Expensive electricity price (PKR12 (USD0.11) per unit) due to dependence over thermal fuel sources<br />
- Energy inefficiency due to power loss from transmission and distribution (23-25%)<br />
- Subsidies and circular debt due to energy inefficiencies, energy theft and high cost of generation.<br />
<br />
The Policy sets the following targets to achieve sustainable power generation, energy conservation, affordable energy supply, energy efficiency and good governance:<br />
- Decrease supply-demand gap to zero by 2017<br />
- Decrease cost of generation from PKR12 (USD0.11) per unit to PKR10 (USD0.09) per unit by 2017<br />
- Decrease transmission and distribution losses from 23-25% to 16% by 2017<br />
- Increase electricity payment rate from 85% to 95% by 2017<br />
- Decrease decision making processing time at the Ministry of Water and Power and related departments<br />
<br />
Basic principles laid out in the Policy are efficiency, competition and sustainability. Though detailed implementation strategies are not indicated, basic strategies to achieve overall goal are indicated. Strategies on energy supply, energy demand, affordable power, supply-chain, generation, transmission, distribution, financial efficiency and governance are listed.",executive,Pakistan,PAK,Adaptation,"Energy Supply, Energy Demand",25/12/2013 | Law passed
711,National Energy Efficiency Plan,"The National Energy Efficiency Plan (PNEf) was published by the Ministry of Mines and Energy. It presents the existing regulatory framework and instruments and actions in a number of economic sectors and areas. It also makes suggestions for improvement and further actions in each area; these include: studies, incentive mechanisms, capacity-building, financing, regulation, improved management, and better co-ordination and integration amongst the different existing programmes. The plan also seeks to clarify responsibilities for the different stakeholder institutions.<br />
<br />
The areas covered by the PNEf are: electricity, industry and micro, small, and medium enterprises, transport, education, buildings, public lighting, sanitation, solar heating, research and development, monitoring and verification, international partnerships, and financing. The national programmes on electricity conservation, rational use of oil and natural gas derivatives, and energy efficiency labelling are also evaluated.",executive,Brazil,BRA,Mitigation and adaptation,"Transportation, Research And Development, Institutions / Administrative Arrangements, Energy Supply, Energy Demand",18/10/2011 | Law passed
712,Decree establishing the Inter-ministerial Commission on Climate Change (CIMGC),"This Decree establishes the Inter-ministerial Commission on Climate Change (CIMGC), composed of nine ministries and headed by the Ministry of Science and Technology, for the purpose of co-ordinating discussions on climate change and integrating the government's policies in these ministries. The CIMGC provides input on the government's involvement with the UNFCCC and sets criteria and makes decisions on Clean Development Mechanism (CDM) projects.<br />
<br />
Order 533, of 29 August 2000, established the by-laws of the CIMGC.",executive,Brazil,BRA,Mitigation and adaptation,Institutions / Administrative Arrangements,07/07/1999 | Law passed
713,"Prime Ministerial Decree No.103/CAB/PM regarding the creation, organization and operation of the Steering Committee for activities to reduce emissions from deforestation, degradation, sustainable management and conservation of forests, REDD+","This Decree established the Steering Committee for REDD+. The Committee is headed by the Ministry of Environment, Nature Protection and Sustainable Development (MINEPDED). The Committee is responsible for formulating proposals for REDD+ strategy options, providing feedbacks regarding the implementation of the strategies, developing selection criteria for REDD+ projects, evaluating REDD+ pilot project proposals, promoting REDD+ activities and validating the work of the Technical Secretary. The Technical Secretary is chaired by MINEPDED and assisted by the Minister of Forests and Fauna (MINFOF). Other members include the Focal Point of the UNFCCC and the National Co-ordinator of REDD+.",executive,Cameroon,CMR,Mitigation and adaptation,"Redd+ And Lulucf, Institutions / Administrative Arrangements",13/06/2012 | Law passed
714,"Presidential Decree No. 2009/410 establishing the creation, organization and functions of the National Observatory on Climate Change","This Decree established the National Climate Change Observatory (ONACC) as a national legal implementing body of climate change policies (though not yet in operation as of 2014). The Ministry of Environment, Nature Protection and Sustainable Development (MINEPDED) is responsible for the supervision of the ONACC, and overall co-ordination of climate change activities and policies within the country. It is supervised by the Ministry of Finance for the financial matters.<br />
<br />
The responsibilities of the ONACC are to: establish relevant climate indicators for monitoring environmental policy; carry out prospective analyses to provide a vision on climate change, to provide weather and climate data to all sectors concerned and to develop annual climate balance of Cameroon; educate and promote studies on the identification of indicators, impacts and risks of climate change; collect, analyse and provide policy makers, national and international organisations information on climate change in Cameroon; initiate activities to promote awareness on and provide information to prevent climate change; serve as operational instrument in the context of other activities to reduce greenhouse gas emissions; propose to the government preventive measures for GHG reduction as well as mitigation and/or adaptation to the adverse effects and risks of climate change; serve as an instrument for cooperation with other regional and international observatories operating in the climate sector; to facilitate the achievement of consideration to payment for ecosystem services provided by forests through the management, conservation and restoration of ecosystems; and to strengthen the capacity of institutions and bodies responsible for collecting data on climate change to create a nation-wide, reliable network for collecting and transmitting the data.<br />
<br />
The Board of Advisers formulates general policies of the ONACC. The Board consists of following members: the President of the Republic; the Prime Minister; a representative from the relevant ministries (MINEPDED, Ministries of Forests, Finance, Technical Cooperation, Scientific Research Agriculture, Water and Energy, and Meteorology); and elected members. The Board members are appointed by Presidential Decrees. Members and the chair of the Board are appointed for the term of three year, which is renewable once.",executive,Cameroon,CMR,,Institutions / Administrative Arrangements,10/12/2009 | Law passed
715,Cameroon Vision 2035,"This document presents Cameroon's overall policy direction in pursuit of development. General objectives are: reducing poverty to minimal levels; becoming a middle-income country; becoming a newly industrialised country; and consolidating democracy and enhancing national unity. It was prepared by the Ministry of Economy, Planning and Regional Development.<br />
<br />
Climate change is identified in Vision 2035 as one of the two major challenges to Cameroon's economy. Over exploitation of natural resources and environmental costs have been warned as it results in climate change threats; Cameroon is partly located in Sahel area with existing harmful effects of climate change: desert encroachment, increased temperatures, irregular seasons, sea level rise, floods, volcanism, landslides rock fall and toxic fumes. The document calls for reduction of greenhouse gases to tackle climate change as a key regional strategy for Cameroon. The Government of Cameroon pledges to seek high growth level while achieving Millennium Development Goals.<br />
<br />
Under the tentative implementation schedule of Vision 2035, drafting and implementation of major environmental policy to fight against the climate change impact is planned for the phase one (2010-2019). Climate change control is listed as one of the three specific objectives for the phase two (2020-2027). Specific actions include protecting and ensuring sustainable management of forest ecosystems, fighting desert encroachment and promoting regional projects like the Niger Basin and the Lake Chad Basin.Diversification of energy source and replacement of fossil fuel with clean energy supplies is mentioned in the document without quantitative targets.",executive,Cameroon,CMR,,"Redd+ And Lulucf, Energy Supply, Adaptation",01/06/2009 | Law passed
716,Document CONPES 3700 on the Institutional Strategy for the Articulation of Policies and Actions in Climate Change,"The main objective of CONPES 3700 is to outline a mechanism for institutional co-ordination to incorporate climate change into sectorial and territorial decision making, the National Climate Change System (SISCLIMA).<br />
<br />
CONPES 3700 recommended the creation of SISCLIMA as the official national institution to coordinate and propel climate change actions. Within these actions, SISCLIMA will co-ordinate the implementation of the four climate change priority strategies defined by the government: CCNAP, CLCDS, ENREDD+ and the Strategy for Fiscal Protection Against Natural Disasters. It is expected that these strategies will need to formulate their own financing strategy and to add a component for private sector investment.<br />
<br />
The proposed approach is one whereby climate change initiatives will be built through a bottom-up approach. Four permanent committees at the base of the SISCLIMA structure will coordinate, shape and implement sectoral and territorial policy as well as international affairs for climate change adaptation and mitigation based on detailed technical studies carried out on specialised working groups. The Finance Committee (FC) will act as coordinator of financing activities and offer support to those initiatives seeking financial support by directing efforts to identify and coordinate sources of finance available at the national and international levels. Finally, at the very top of the system, the Inter-Sectoral Commission on Climate Change (COMICC) will bring together various ministries and key national institutions to co-ordinate and direct institutional efforts on climate change and act as the connection point between SISCLIMA and the wider government, including the presidency. COMICC will also share findings and guide policy at the highest level of the national government on climate change issues. The final structure however is still under revision.<br />
<br />
A Presidential Decree is required to give effect to CONPES 3700. At the time of writing (November 2014) this has not been issued and meanwhile successive drafts of the REDD+ Readiness Preparation Proposal (R-PP) have introduced further refinements. For example, CONPES 3700 envisages that SISCLIMA will be directed by an Executive Committee (COMECC). The latest drafts of the R-PP have sought to make SISCLIMA's governance more inclusive; COMECC has now become an Inter-Sectoral Committee (COMICC).",executive,Colombia,COL,,Institutions / Administrative Arrangements,14/07/2011 | Law passed
717,National Action Plan to Combat Land Degradation and Drought,"This plan was devised as a response to Tuvalu's concern regarding degradation of its habitats and current predicted shortages of water connected with increasing population and the effects of climate change. The Plan specifies seven major causes of land degradation:<br />
- Lack of land use planning (specifically related to a road project on Funafuti);<br />
- Sea level rise;<br />
- Drought and bush fires;<br />
- Unsustainable agricultural practices;<br />
- Unsustainable development activities (seawalls and boat ramps);<br />
- Unsustainable use of watershed (extraction of materials from the foreshore leading to accelerated coastal erosion and loss of land); and<br />
- Uncontrolled waste disposal<br />
<br />
It then outlines six projects to be implemented:<br />
- Water management: Northern Islands Rainwater Catchment Enhancement Project;<br />
- Community tree care: Tuvalu Community Tree Care Project;<br />
- Developing national environmental protection legislation: Development of National Environmental Protection Act with provisions for environmental impact assessment and regulations related to sustainable land management;<br />
- Water catchment development (Funafati): Funafati AirstripWater Catchment Development Project;<br />
- Protected area survey: Tuvalu Land-Based Protected Area Survey Project; and<br />
- Integrated solid waste management: Integrated Solid Waste Management Project (Funafuti).",executive,Tuvalu,TUV,,"Redd+ And Lulucf, Institutions / Administrative Arrangements, Adaptation",01/07/2006 | Law passed
718,Climate Change Strategy 2010-2020,"<div>The Strategy sketches Turkey's vision in addressing multiple aspects of climate change, and serves as a basis for the National <a href=""http://www.lse.ac.uk/GranthamInstitute/law/climate-change-action-plan-2011-2023/"">Climate Change Action Plan 2011-2023</a>.<br>&nbsp;<br> The Strategy puts forth a set of policies to address those in the short-, medium-, and long term for reduction of emissions from the following sectors: energy, industry, transportation, waste, LULUCF.<br>&nbsp;<br> It calls for increasing of energy efficiency and use of renewable energy, gradually moving to low- and zero-carbon emissions and the reduction of energy intensity by 2020 to 2004 levels, 30% share of renewables in electricity by 2023, and a reduction of 7% of emissions from electricity by 2020 against a BAU scenario.<br>&nbsp;<br> The strategy also addresses the need to develop policy on climate change adaptation.<br>&nbsp;<br> The Strategy further lays out a way forward for technology development and transfer, institutional infrastructure building and monitoring.<br>&nbsp;<br>&nbsp;<br>&nbsp;<br>&nbsp;<br>&nbsp;<br><br></div>",executive,Turkey,TUR,,"Transportation, Research And Development, Redd+ And Lulucf, Energy Supply, Energy Demand, Adaptation",01/05/2010 | Law passed |  | 
719,Law no. 2015-992 on Energy Transition for Green Growth (Energy Transition Law),"<div>The framework Energy Transition Law and its related action plans are designed to give France the means to diversify its energy mix and enhance its actions contributing to tackling climate change. It covers a large scope of economic activities and brings in binding energy targets for transport, housing sector and renewable energy. In its 215 articles, the law sets the following ambitious national targets:</div><div><br></div><ul><li>cut GHG emissions by 40% between 1990 and 2030 and by 75% by 2050;</li><li>cut the national energy usage by at least 50% by 2050;</li><li>reduce the share of fossil fuels in energy production by 30% compared to 2012;</li><li>cap the total output from nuclear power at 63.2 GW and reduce France's reliance on nuclear power from the current 75% to 50% by 2030;</li><li>bring the share of renewables up to 32% of the energy mix by 2030.</li></ul><div><br>&nbsp;The law also increases the carbon tax on fossil fuel more than four times, from the 2015 rate of â‚¬14.5 to â‚¬56 per ton in 2020, and â‚¬100 in 2030, pending on ratification in the annual budget.<br>&nbsp;Renewable energy production is supported through simplified administrative procedures for onshore wind farms (art 143) and general permitting process for renewables (art 145). In addition, powers have been given to municipalities to develop district heating and cooling systems (art 194).<br>&nbsp;The adoption of the law is expected to create more than 75,000 new jobs in the housing sector through retro-fitting the ageing housing stock (which currently consumes about 50% of France's energy).<br>&nbsp;The law sets minimum energy consumption requirements for public buildings and, where possible, requires them to be energy positive. Minimum energy requirements applicable to social housing are extended from collective dwellings to individual housing (art 13). Energy upgrades or integration of renewable energy sources can also be mandated through local plans (art 8-I). Government support for energy upgrades is maintained (art 14-II and art 22) and the installation of smart meters is mandated by law (conditions apply - art 27) Administrative procedure for energy upgrades of communal parts of buildings is simplified, by recognizing simple majority voting among tenants (art 14-I). Similarly, procedures for building certification are simplified by allowing for certification at delivery of the new built (art 15). Individual billing for heating and electricity consumption are required in all buildings fitted with a collective heating and/or hot water system (art 26).<br>&nbsp;The law also contains a package of measures to tackle air pollution through a clean transport programme, which incentivises citizens to buy low-emission vehicles by installing approximately 7 million charging stations and dedicated parking places. The law also requires the State to prioritise electric and low-carbon vehicles in procurement (at least 50% of new procurement). Taxi and rental companies will also have to reach a minimum of 10% of low-carbon vehicles in their vehicle park. A subsidy for replacing old diesel vehicles by new ones is also provided, with a dedicated capped budget. In addition, metropolitan areas are allowed to reduce traffic speed on all or part of the city routes (art 47) and introduce temporary traffic bans against polluting vehicles across the city (art 49). Additional measures include: price reductions for access to public transport in case of traffic ban for certain type of vehicles (art 48); penalties for removing particulate filters (art 58); and optimal urban planning of the transport system contributing to reduction of air pollutants (art 66).<br>&nbsp;The law sets a requirement for investors to declare the environmental impact of their investment portfolios, including specific reference to impact on climate change. Article 173 imposes listed companies to disclose financial risks related to the effects of climate change and measures adopted by the company to reduce them; banks and credit providers shall disclose the risks evidenced by the stress-tests that are regularly implemented in their mandatory risk reports; and institutional investors must disclose information to beneficiaries on how their investment decision-making process takes social, environmental and governance criteria into consideration (including climate risk), and the means implemented to contribute to the financing of the ecological and energy transition. Several other educational and financial assistance projects are to be commissioned to assist citizens with energy efficient retrofits, renewable sources installation and others.<br>&nbsp;The law also promotes waste reduction and resources savings, in particular a gradual decoupling between France's growth and consumption of raw materials. The laws includes the following provisions:<br>&nbsp;</div><ul><li>increase by 30% over 2010-2030, the ratio of the GDP to domestic material consumption;</li><li>decrease the domestic material consumption per capita (consumer products, food waste, electronic waste) and increase recycling rates (art 70-V, art 84, art 87, art 99 and 103);</li><li>the production, distribution, sale, provision and use of packaging or bags made wholly or partly from oxo-fragmentable plastic (biodegradable but not compostable) are prohibited;</li><li>as of 1 January 2016, disposable plastic bags available at supermarket counters are prohibited, and from 1 January 2017, the ""fruit and vegetables"" plastic bags are prohibited (art 75);</li><li>as of 1 January 2017, the use of non-biodegradable and non-compostable plastic packaging for sending addressed or non-addressed press and advertising is prohibited ;&nbsp;</li><li>state services and local authorities are to decrease their office paper consumption by 30% before 2020;</li><li>as of 1 January 2017, at least 25% (40% as of 1 January 2020) of paper products, stationery and fiber-based prints acquired by state services and local authorities and their groupings are to be made from recycled paper, with the rest to come from sustainably managed forests;</li><li>strengthened powers for mayors to deal with abandoned vehicles (art 77);</li><li>better monitoring of waste (art 82) and fight against chemical waste trafficking (art 77-IV) and unregulated waste disposal (art 78);</li><li>other quantified limits apply to State and local authorities construction work waste and raw materials use.</li></ul><div><br></div><div>The law also aims to support protection of biodiversity and pollution reduction, in particular through mandated reduction of free sale of pesticides for home-gardeners (from 1 January 2016) and then phase-out from 1 January 2017, and ban on aerial spraying of pesticides, except in cases of serious health hazard (art 68).</div>",legislative,France,FRA,No,"Transportation, Redd+ And Lulucf, Institutions / Administrative Arrangements, Energy Supply, Energy Demand, Carbon Pricing",17/08/2015 | Law passed |  | 
720,"Climate Adaptation Strategy (Decree of the Ministry of Environment, Land and Sea 0000086/CLE)","The Climate Adaptation Strategy establishes specific objectives to be reached by end of December 2016 and it is to be updated within 5 years.<br />
The National Adaptation Strategy provides an extensive knowledge on past, present and future climate change and on impacts/vulnerabilities to climate change of different sectors, including: water resources; desertification, soil degradation and drought; hydrogeological risks; biodiversity and ecosystems; health; forestry; agriculture, aquaculture, marine fishery; energy; coastal zones; tourism; urban settlements; and critical infrastructures.<br />
The Strategy also provides a national vision on how to address future impacts of climate change in various socio-economic sectors and natural systems and it in particular aims to:<br />
<br />
<ul><br />
<li>improve current knowledge on climate change and its impacts;</li><br />
<li>identify vulnerabilities and adaptation options for relevant natural and socio-economic systems, and describe opportunities that may be associated to climate change;</li><br />
<li>promote participation of stakeholders in defining strategies and sectoral adaptation plans to make later implementation more effective;</li><br />
<li>increase awareness about climate change risks and adaptation through a range of communication activities;</li><br />
<li>specify methods to be used to identify the best options for adaptation actions, also highlighting the co-benefits.</li><br />
</ul><br />
The Strategy sets the broad adaptation framework, but it is the Action Plan and sectoral plans that are to be adopted by December 2016 will define the timeline, quantifiable objectives and details of implementation.<br />
The National Adaptation Strategy also identifies areas where synergies between climate mitigation and adaptation actions could be exploited, including: energy and green buildings; food production and consumption; forestry and land-use; and water resources.",executive,Italy,ITA,,Adaptation,16/06/2015 | Law passed
721,Energy Law (Dz.U. 1997 nr 54 poz. 348),"<div>This law (with later amendments, lastly in September 2015) defines the principles of state energy policy, conditions for the supply and use of fuels and energy, and the framework for activities of energy companies. It also specifies the authorities responsible for the management of fuels and energy. Among others, it established the basis for independent electricity and gas production and access of independent power producers to the grid, principles for least cost and integrated resource planning, support to high efficiency heat and power production, demand side management and energy efficiency labels.<br>&nbsp;It facilities the production of electricity from renewable energy sources (up to 5MW), making them eligible to benefit from a reduced grid connection fee and exempt from paying annual licence fees. Energy providers are allowed to incorporate costs of developing renewable energy into their tariff regimes. Since 1 October 2005, energy enterprises that generate, trade or purchase electricity are obliged to purchase or generate a certain amount of electricity from renewable sources of energy. The obligation will be met through the acquisition and redemption of certificates of origin that certify electricity produced from renewable sources. Transmissions and distribution operators are obliged to accept renewable sources of energy. Similar scheme for heat produced from renewable energy sources entered into force on 1 January 2007.<br>&nbsp;The amendment of 26 July of 2013 simplified the setting up a micro-installation (renewable energy sources with no more than 40kW of total installed electrical capacity, connected to electrical grid of a voltage lower than 110kV or no more than 120 kW of total installed heat capacity). Applications to connect a micro-installation to the grid will no longer be subject to a connection fee nor required to attach documents confirming the admissibility of locating the installation in the investment area. In some cases, there will be no need for an interconnection agreement. It also expands the definition of renewable energy sources to aerothermal and hydrothermal, it provides the protection of vulnerable consumers, as well as support for energy-intensive industries.<br>&nbsp;In order to make the gas market more transparent and competitive, the Small Tri-Pack imposes the obligation to sell at least 30% (40% since 2014 and 55% since 2015) of the gas at the exchange markets. The Act also exempts people producing energy from renewable resources for their own purposes from the obligation to obtain the license for the power supply.<br>&nbsp;The amendment to the Energy Law from 26 September 2015 introduces measures necessary for the application of the 'REMIT Regulation' of the European Parliament and the Council Regulation no. 1227/2011 (25 October 2011) on the wholesale energy market integrity and transparency. It establishes a legal framework necessary for monitoring the practices of wholesale energy market participants, as well as detecting and deterring fraudulent practices in this sector.</div>",legislative,Poland,POL,,"Institutions / Administrative Arrangements, Energy Supply, Energy Demand",10/04/1997 | Law passed |  |  ; 01/09/2015 | Last amendment |  | 
722,Act 1990:582 on Carbon Tax and related regulations,"The Carbon Tax Act (as amended in 2013) introduced carbon tax on coal, oil, natural gas, petrol, and aviation fuel used in domestic travel, complementing the already existing energy taxes, aiming at supporting development of cleaner fuels while keeping the burden on the energy sector more or less constant.<br />
Initially covering the whole of the above sectors, the tax was reformed after the launch of the EU carbon-trading scheme and was kept for industry and non-industry emitters outside of the EU ETS scheme.<br />
Initially set at a general level of USD120 per ton of CO2 (different rates for coal fuels, kerosene and engine oils on domestic flights, natural gas, and LPG) - the carbon tax was progressively raised in 2013 to USD349 per tonne of CO2 for coal fuels and up to USD418 per tonne of CO2 for natural gas used for non-travel purposes for the sectors still concerned by the tax. Both peat and biofuels are exempt from the tax, as well as fuels used for electricity production. Until 2015, minor tax relief was also granted for natural gas and liquefied petroleum gas (LPG) used in cars, ships, and aircraft; however, from 2015 the same level of tax will apply to all fossil fuels. Additionally, EU ETS exempt industries such as agriculture, forestry and pisciculture are subject to 30% of the standard CO2 tax.",legislative,Sweden,SWE,Mitigation and adaptation,"Energy Supply, Carbon Pricing",14/06/1991 | Law passed ; 01/11/2013 | Last amendment
723,Law 27191 on Renewable Energy,"<div>The Law builds on and updates the Regimen for the National Promotion for the Production and Use of Renewable Sources of Electric Energy established by the <a href=""http://www.lse.ac.uk/GranthamInstitute/law/law-26-190-regimen-for-the-national-promotion-for-the-production-and-use-of-renewable-sources-of-electric-energy-2/"">Law 26.190</a>, and extends the regimen for the period 2018-2025. It sets national renewable energy targets, establishes a fund for financing renewable energy projects, and defines minimum renewable requirements for large consumers.<br> The law sets the following national targets for renewable energy:<br>&nbsp;<br><br></div><div><br><br></div><ol><li>By 31 December 2017, minimum of 8% of total electricity consumed comes from renewable sources.</li></ol><div><br><br></div><ol><li>By 31 December 2019, minimum of 12% of total electricity consumed comes from renewable sources.</li></ol><div><br><br></div><ol><li>By 31 December 2021, minimum of 16% of total electricity consumed comes from renewable sources.</li></ol><div><br><br></div><ol><li>By 31 December 2023, minimum of 18% of total electricity consumed comes from renewable sources.</li></ol><div><br><br></div><ol><li>By 31 December 2025, minimum of 20% of total electricity consumed comes from renewable sources.</li></ol><div><br><br></div><div><br>&nbsp;The law creates a new Fund for the Development of Renewable Energies (FODER), which is to be funded, among others, through the National Treasury with minimum 50% of the savings from shifting from fossil fuels to renewables, estimated at about US$41 billion by 2025.<br>&nbsp;The law also establishes special obligation for large energy users (power demand exceeds 300 kW) to achieve the above-mentioned targets individually, under a threat of penalty. Their renewable energy might be produced on site or purchased through contracts, whose price is capped by the Law at maximum US$113/MWh or its equivalent in the national currency. This price can be modified for new contracts after two years from the entry into force of the law takes effect if required by market conditions.</div>",legislative,Argentina,ARG,No,"Energy Supply, Energy Demand",15/10/2015 | Law passed |  | 
724,"Act on Renewable Energy Sources ('RES Act', Dz.U. 2015 poz. 478)","This Act defines the new regime for support to renewable energy sources (including wind energy, energy radiation of the sun, solar, aerothermal, geothermal, hydrothermal energy, hydropower, waves, currents error and tidal energy obtained from biomass, biogas, agricultural biogas and bioliquid - art. 2.22), aiming to stabilise the long-term support system, with the goal to prevent electricity prices form increasing in an uncontrolled manner. The Act also transposes the Directive 2009/28/EC on renewable energy into Polish legislation and aims to contribute to Poland's target of reaching 15% share of renewable energy production by 2020.
The Act will provide continuing support to most existing installations (in operation by or before 31 December 2015) through certificates of origin, while future investments will compete for support through an auction system organised by the President of the Energy Regulatory Office (ERO).
The auctions, applying to new installations over 10 kW of installed capacity, will be based on a type of contract-for-difference (CfD) granted, with separate auctions for old and new plants and for plants of 1 MW or less, as well as varied reference prices for the eighteen renewable sources reference groups. The chosen renewable plants will have to start generation within 24 months (solar plants), 72 months (wind plants) or 48 months (others), and they will be required to deliver at least 85% of the volume offered in the bid, under threat of penalty. The energy auctioned will be bought by the newly formed state-owned entity Operator Rozlicze? Energii Odnawialnej (for energy produced in installations above 500kW) or by electricity distribution companies (for energy produced in installations up to 500kW). Most existing installations will also be eligible to change to the auction support instrument from the current certificates of origin, except for hydropower plants over 5 MW, non-qualified biomass co-firing installations (art. 44) and biomass installations exceeding 50 MW of electrical power (or 150 MW of CHP power).
The existing installations will continue to be eligible for the existing system of support through certificates of origin (introduced through the 1997 Energy Law), but a number of limits will apply:
<ul>
<li style=""list-style-type: none;"">
<ul>
<li>support for max 15 years from the start of renewable energy production in the given installation;</li>
</ul>
</li>
</ul>
<ul>
<li style=""list-style-type: none;"">
<ul>
<li>support for hydropower of max 5 MW of capacity;</li>
</ul>
</li>
</ul>
<ul>
<li style=""list-style-type: none;"">
<ul>
<li>support for biomass co-firing installations of less than 150 MW capacity capped to equivalent of the average generation over 2011-2013;</li>
</ul>
</li>
</ul>
<ul>
<li style=""list-style-type: none;"">
<ul>
<li>large consumers (over 100 GWh of electricity consumed annually) and commodity brokerage houses are required to obtain certificates of origin for 14% and 15% of their annual electricity consumption for 2015 and 2016 respectively or pay the substitution fee. From 2017 the share is min 20%, but can be reduced by the Minister of Economy, if necessary due to specific market conditions. A unit substitution fee is set to a constant 300.03 PLN/MWh (2014 level, approx. 72 â‚¬/MWh), which should stabilise the price of certificates, as purchasing and redeeming of certificates of origin will only be allowed if the average market price of certificates remains below 75% of the substitution fee.</li>
</ul>
</li>
</ul>
The Act also introduces a feed-in tariff system for micro installations of up to 10 kW (max 40 kW under special conditions - art. 41.7), while guaranteeing purchase by electricity distribution companies at 100% of market price for the next 15 years, until no later than December 31, 2035 (art. 41.5). The support also covers the so-called â€˜prosumers,' who both produce and consume their own electricity. The subsidies amount to PLN 0.75 (EUR 0.18) per kWh to prosumers with a capacity of up to 3 kW (hydropower, wind, solar), and PLN 0.40-0.70 (EUR 0.10-0.17) for those with a capacity between 3 and 10 kW (biogas, hydropower, wind, solar). Moreover, there are no licensing/concession requirements for those micro generators that do not have active business.

The Act was amended in June 2018, alongside the 2016 Act on investments in wind power and the 1994 Construction Act, in order to boost offshore wind investment. It was further amended in August 2019 to extend the agreements on grid connection and updates the auction mechanism.",legislative,Poland,POL,,"Institutions / Administrative Arrangements, Energy Supply, Energy Demand",20/02/2015 | Law passed ; 29/08/2019 | Last amendment
725,Royal Decree 900/2015 on Energy Self-Consumption,"The Royal Decree seeks to promote economically sustainable distributed generation and the use of renewable energies, but also introduces charges and tolls for grid access, with the goal of fair burden-sharing among electricity grid users.<br />
All self-consumers connected to the grid (see below) have to be registered with the Registry for Electrical Energy Self-Consumption, even if they do not ever intend on selling any surplus energy that they generate to the grid (isolated facilities exempt).<br />
There are two self-consumption modalities:<br />
<br />
<ul><br />
<li>'supply with self-consumption' - consumer with a contracted power of maximum 100 kW, owning at least one generation facility within its internal network, not registered as production facility</li><br />
<li>'production with self-consumption' - consumer associated to at least one generation facility connected within its network; the total power of the production facilities must be lower or equal to the consumer contracted power</li><br />
</ul><br />
The Decree allows for electricity storage devices installed within the self-consumption facilities, but makes them financially unattractive.<br />
All self-consumers have to pay 'access tolls' to the grid to contribute to its maintenance and operations. Tolls depend on the real use of the grid (contracted power and energy introduced in the border point). Under the second modality, 'access tolls' for feeding energy to the network are to be paid. In addition, all self-consumers have to pay the ""charges associated to the electricity system cost"", as well as the 'charge for other services of the system' (i.e. back-up of the self-consumer's facilities provided by the electrical system; can vary or be exempt for non-mainland territories and low voltage consumers - under 10 kW). Some existing facilities (e.g. cogeneration, small generation of <50 MW) are temporarily exempt from the charges until 31 December 2019.<br />
Both types of self-consumers can purchase additional electricity. However, only facilities registered under the second modality are entitled to receive a financial compensation for providing electricity to the grid. This prohibits individual small self-consumers from receiving compensation for any self-generated and unused electricity, unless they register as electricity production businesses.",executive,Spain,ESP,Mitigation,"Institutions / Administrative Arrangements, Energy Supply, Energy Demand",09/10/2015 | Law passed
